area_id,stop_id
105S,6951
107C,8840
107C,9366
107I,7855
107I,7934
107M,8644
107M,30163
107M,8643
11&V,1895
11&V,878
11&V,6108
110V,6146
129T,9243
129T,9242
12CA,1902
12CA,3621
12GL,1907
12GL,3626
12LI,40338
12TH,1924
12TH,3643
12TH,770
15BU,4845
15BU,3152
15BU,6392
15BU,1117
15CA,3652
15CA,1929
15CA,1164
15CI,40340
15DO,1230
15JE,1441
15JE,7846
15PI,6938
15PI,3154
15TH,3672
15TH,1947
15VB,3673
15VB,1948
15VB,1803
15VB,7122
15WA,7843
16BA,4848
16BA,3157
16BA,5362
16BD,4849
16BD,3158
16BE,3678
16BE,5417
16BU,4850
16BU,3159
16BU,5510
16BU,222
16CA,3679
16CA,1955
16GL,3684
16GL,1960
16GL,5646
16GL,360
16NO,5802
16NO,3708
16NO,9281
16RE,5826
16RE,584
16RO,5848
16RO,602
16SO,4858
16SO,3166
16TH,1978
16TH,3702
16VB,3703
16VB,1979
16VB,880
16VB,6110
16WA,6189
17JE2,1443
17SC,3709
18JE,1453
18JE,7845
18MC,6827
19AD,1993
19BE,3728
19BE,6331
19BE,1058
19BE,1998
19BL,6302
19BL,1028
19BL,1997
19BL,3726
19BU,7488
19BU,7492
19BU,6393
19BU,1119
19CA,2000
19CA,3731
19CA,1166
19CA,6442
19CH,40339
19CH,2003
19CH,3734
19CP,3732
19CT,3730
19CT,6422
19DU,1237
19DU,6522
19DU,2008
19DU,3739
19DV,8363
19DV,7689
19DV,1375
19DV,7698
19GL,2015
19GL,3741
19GL,6607
19GL,1315
19HT,6707
19IN,2020
19IN,3745
19IN,6717
19IN,1404
19JE,1378
19JE-E,1444
19JE-S,3725
19MB,8759
19MB,348
19MC,2023
19MC,3748
19MC,1488
19MC,6825
19NO,1525
19NO,6850
19NO,2030
19NO,3753
19PE,6898
19PE,1575
19PE,2033
19PE,3757
19SH,40347
19SO,7471
19SO,7482
19SO,6954
19SO,1633
19SS,3760
19TB,7039
19TB,1721
19TB,2039
19TB,3762
19TH,2038
19TH,3761
19TH,1672
19TH,6994
19UN,1748
19UN,7068
19UN,2042
19UN,3764
19VB,2044
19VB,3766
19VB,1805
19VB,7124
19WH,1996
19WH,3711
1AJE1,9013
1AVB,3781
1AVB,1809
1AVB1,9026
1SVB,27
22LB,7830
22LB,7602
23CA,1168
23CA,6444
23HP,20125
23HP,8154
23HP,20126
23HP,8128
23RO,8030
23RO,1625
24AR,3202
24BA,5364
24BA,3184
24BA,8063
